0    [main] INFO  org.eclipse.jetty.server.Server  Ð jetty-8.1.10.v20130312
118  [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  Ð Deployment monitor /usr/local/projects/cpc-blacklight/jetty/contexts at interval 0
156  [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  Ð Deployable added: /usr/local/projects/cpc-blacklight/jetty/contexts/solr.xml
406  [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  Ð Extract jar:file:/usr/local/projects/cpc-blacklight/jetty/webapps/solr.war!/ to /usr/local/projects/cpc-blacklight/jetty/solr-webapp/webapp
3556 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  Ð NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
5310 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  Ð Adding 'file:/usr/local/projects/cpc-blacklight/jetty/solr/lib/contrib/analysis-extras/lucene-libs/lucene-analyzers-smartcn-4.6.0.jar' to classloader
5311 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  Ð Adding 'file:/usr/local/projects/cpc-blacklight/jetty/solr/lib/contrib/analysis-extras/lucene-libs/lucene-analyzers-stempel-4.6.0.jar' to classloader
5582 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrConfig  Ð Using Lucene MatchVersion: LUCENE_40
5710 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.Config  Ð Loaded SolrConfig: solrconfig.xml
5716 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  Ð Reading Solr Schema from schema.xml
5870 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  Ð [blacklight-core] Schema name=Blacklight Demo Index
6403 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  Ð default search field in schema is text
6409 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  Ð query parser default operator is OR
6411 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  Ð unique key field: id
6714 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  Ð solr.StandardDirectoryFactory
6723 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  Ð [blacklight-core] Opening new SolrCore at /usr/local/projects/cpc-blacklight/jetty/solr/blacklight-core/, dataDir=/usr/local/projects/cpc-blacklight/jetty/solr/blacklight-core/data/
6723 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  Ð JMX monitoring not detected for core: blacklight-core
6737 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.CachingDirectoryFactory  Ð return new directory for /usr/local/projects/cpc-blacklight/jetty/solr/blacklight-core/data
6737 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  Ð New index directory detected: old=null new=/usr/local/projects/cpc-blacklight/jetty/solr/blacklight-core/data/index/
6738 [coreLoadExecutor-3-thread-1] WARN  org.apache.solr.core.SolrCore  Ð [blacklight-core] Solr index directory '/usr/local/projects/cpc-blacklight/jetty/solr/blacklight-core/data/index' doesn't exist. Creating new index...
6747 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.CachingDirectoryFactory  Ð return new directory for /usr/local/projects/cpc-blacklight/jetty/solr/blacklight-core/data/index
6868 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  Ð SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=/usr/local/projects/cpc-blacklight/jetty/solr/blacklight-core/data/index,segFN=segments_1,generation=1}
6868 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  Ð newest commit generation = 1
6952 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  Ð no updateRequestProcessorChain defined as default, creating implicit default
6957 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  Ð adding lazy requestHandler: solr.ReplicationHandler
6959 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  Ð created /replication: solr.ReplicationHandler
6963 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  Ð created standard: solr.StandardRequestHandler
6964 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  Ð adding lazy requestHandler: solr.FieldAnalysisRequestHandler
6964 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  Ð created /analysis/field: solr.FieldAnalysisRequestHandler
6970 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  Ð created /update: solr.UpdateRequestHandler
6971 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  Ð created /admin/: org.apache.solr.handler.admin.AdminHandlers
6975 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  Ð created /admin/ping: solr.PingRequestHandler
